Reference, Value, Footprint, Datasheet
U1,PCM2912,SMD_Packages:TQFP-32,
U2,USBAM,Connect:USB_A,
R5,30R,SMD_Packages:SMD-0603_r,
R6,30R,SMD_Packages:SMD-0603_r,
R9,1K5,SMD_Packages:SMD-0603_r,
R2,1K5,SMD_Packages:SMD-0603_r,
R1,1K5,SMD_Packages:SMD-0603_r,
R10,1M,SMD_Packages:SMD-0603_r,
R3,3K3,SMD_Packages:SMD-0603_r,
R7,3K3,SMD_Packages:SMD-0603_r,
R4,3K3,SMD_Packages:SMD-0603_r,
R8,3K3,SMD_Packages:SMD-0603_r,
C7,1uF,SMD_Packages:SMD-0603_c,
C3,1uF,SMD_Packages:SMD-0603_c,
C1,1uF,SMD_Packages:SMD-0603_c,
C11,1uF,SMD_Packages:SMD-0603_c,
C8,1uF,SMD_Packages:SMD-0603_c,
C5,1uF,SMD_Packages:SMD-0603_c,
C9,22pF,SMD_Packages:SMD-0603_c,
C16,22pF,SMD_Packages:SMD-0603_c,
C14,100pF,SMD_Packages:SMD-0603_c,
C15,100pF,SMD_Packages:SMD-0603_c,
C12,0.1uF,SMD_Packages:SMD-0603_c,
C13,3u3,SMD_Packages:SMD-0603_c,
C4,1uF,SMD_Packages:SMD-0603_c,
C2,100uF,SMD_Packages:SMD-1206,
C6,100uF,SMD_Packages:SMD-0603_c,
L1,1uH,SMD_Packages:SMD-0603,
D2,GREEN,LEDs:LED-0603,
D1,RED,LEDs:LED-0603,
X1,6MHz,SMD_Packages:SMD-1210,
U6,NAU8223,Pin_Headers:Pin_Header_Straight_1x20,
C26,0.47uF,SMD_Packages:SMD-0603_c,
C23,0.47uF,SMD_Packages:SMD-0603_c,
C18,0.1uF,SMD_Packages:SMD-0603_c,
C19,10uF,SMD_Packages:SMD-0603_c,
C24,0.1uF,SMD_Packages:SMD-0603_c,
C32,0.1uF,SMD_Packages:SMD-0603_c,
C29,0.1uF,SMD_Packages:SMD-0603_c,
C25,10uF,SMD_Packages:SMD-0603_c,
C33,10uF,SMD_Packages:SMD-0603_c,
C27,10uF,SMD_Packages:SMD-0603_c,
SP1,RSPEAKER,Connect:PINHEAD1-2,
SP2,LSPEAKER,Connect:PINHEAD1-2,
C31,0.47uF,SMD_Packages:SMD-0603_c,
C20,0.47uF,SMD_Packages:SMD-0603_c,
R11,4K7,SMD_Packages:SMD-0603_r,
C10,0.47uF,SMD_Packages:SMD-0603_c,
P2,CONN_02X01,Pin_Headers:Pin_Header_Straight_2x01,
P3,CONN_02X01,Pin_Headers:Pin_Header_Straight_2x01,
U4,FB,SMD_Packages:SMD-1210,
U5,FB,SMD_Packages:SMD-1210,
C30,1nF,SMD_Packages:SMD-0603_c,
C22,1nF,SMD_Packages:SMD-0603_c,
U7,FB,SMD_Packages:SMD-1210,
U8,FB,SMD_Packages:SMD-1210,
JP4,JUMPER,Connect:GS2,
JP3,JUMPER,Connect:GS2,
U3,MIC,Connect:PINHEAD1-6,
C17,0.1uF,SMD_Packages:SMD-0603_c,
P1,CONN_02X01,Pin_Headers:Pin_Header_Straight_2x01,
JP1,JUMPER,Connect:GS2,
JP2,JUMPER,Connect:GS2,
C21,1nF,SMD_Packages:SMD-0603_c,
C28,1nF,SMD_Packages:SMD-0603_c,
