Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
1,6,"C1, C11, C3, C4, C5, C6",1uF,device:C,SMD_Packages:SMD-0603,
2,1,C10,2.2uF,device:C,SMD_Packages:SMD-0603,
3,6,"C12, C17, C24, C25, C31, C9",0.1uF,device:C,SMD_Packages:SMD-0603,
4,1,C13,3u3,device:C,SMD_Packages:SMD-0603,
5,2,"C14, C15",100pF,device:C,SMD_Packages:SMD-0603,
6,2,"C16, C8",22pF,device:C,SMD_Packages:SMD-0603,
7,4,"C18, C23, C26, C32",10uF,device:C,SMD_Packages:SMD-0603,
8,4,"C19, C21, C28, C30",1nF,device:C,SMD_Packages:SMD-0603,
9,2,"C2, C7",100uF,device:C,SMD_Packages:SMD-1206,
10,4,"C20, C22, C27, C29",0.47uF,device:C,SMD_Packages:SMD-0603,
11,1,D1,RED,device:LED,LEDs:LED-0603,
12,2,"D2, D3",GREEN,device:LED,LEDs:LED-0603,
13,2,"JP1, JP2",JUMPER,device:JUMPER,Connect:GS2,
14,1,JP3,HGS,device:JUMPER,Connect:GS2,
15,1,JP4,LGS,device:JUMPER,Connect:GS2,
16,1,L1,1uH,device:INDUCTOR,SMD_Packages:SMD-0603,
17,2,"P1, P3",CONN_02X01,conn:CONN_02X01,Pin_Headers:Pin_Header_Straight_2x01,
18,1,P2,CONN_01X04,conn:CONN_01X04,Pin_Headers:Pin_Header_Straight_1x04,
19,3,"R1, R2, R8",1K5,device:R,SMD_Packages:SMD-0603,
20,1,R10,1M,device:R,SMD_Packages:SMD-0603,
21,1,R11,510R,device:R,SMD_Packages:SMD-0603,
22,4,"R3, R4, R7, R9",3K3,device:R,SMD_Packages:SMD-0603,
23,2,"R5, R6",30R,device:R,SMD_Packages:SMD-0603,
24,1,SP1,RIGHT,device:SPEAKER,Connect:PINHEAD1-2,
25,1,SP2,LEFT,device:SPEAKER,Connect:PINHEAD1-2,
26,1,U1,PCM2912A,audio:PCM2912A,SMD_Packages:TQFP-32,
27,1,U2,MIC,audio:MIC,MIC:MIC,
28,4,"U3, U4, U6, U7",FB,audio:FB,MIC:FB-28F0121,
29,1,U5,NAU8223,audio:NAU8223,MIC:QFN20,
30,1,X1,6MHz,device:CRYSTAL,MIC:FOX6MHZ,
