Source:,/home/muniza/kicad/sd/gps/gps.sch
Date:,Fri 03 Oct 2014 11:17:06 PM EDT
Tool:,Eeschema (2014-09-06 BZR 5115)-product
Component Count:,35

Individual Components:

Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
,,C1,.1uF,device:Csmall,SMD_Packages:SMD-0603,
,,C10,.1uF,device:Csmall,SMD_Packages:SMD-0603,
,,C11,.1uF,device:Csmall,SMD_Packages:SMD-0603,
,,C2,18pF,device:Csmall,SMD_Packages:SMD-0603,
,,C3,.1uF,device:Csmall,SMD_Packages:SMD-0603,
,,C4,22pF,device:Csmall,SMD_Packages:SMD-0603,
,,C5,.1uF,device:Csmall,SMD_Packages:SMD-0603,
,,C6,1uF,device:Csmall,SMD_Packages:SMD-0603,
,,C7,1uF,device:Csmall,SMD_Packages:SMD-0603,
,,C8,10uF,device:Csmall,SMD_Packages:SMD-0603,
,,C9,10uF,device:Csmall,SMD_Packages:SMD-0603,
,,D1,LED(G),device:LED,SMD_Packages:SMD-0603,
,,JP1,JUMPER,device:JUMPER,,
,,JP2,JUMPER,device:JUMPER,,
,,JP3,JUMPER,device:JUMPER,Connect:GS2,
,,JP4,JUMPER,device:JUMPER,Connect:GS2,
,,JP5,JUMPER,device:JUMPER,Connect:GS2,
,,JP6,JUMPER,device:JUMPER,Connect:GS2,
,,P1,PWR,conn:CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02,
,,P2,CTL,conn:CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02,
,,P3,UART,conn:CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02,
,,R1,510,device:R,SMD_Packages:SMD-0603,
,,R2,100k,device:R,SMD_Packages:SMD-0603,
,,R3,100k,device:R,SMD_Packages:SMD-0603,
,,R4,10k,device:R,,
,,R5,10k,device:R,SMD_Packages:SMD-0603,
,,R6,6k,device:R,SMD_Packages:SMD-0603,
,,U1,USB_A_FEMALE,gps-cache:USB_A_FEMALE,ab2_usb:AB2_USB_MICRO_SMD,
,,U2,TXS0102,gps:TXS0102,gps:TXS0102,
,,U3,SE880,gps:SE880,gps:SE880,
,,U4,ABS25,gps:ABS25,gps:ABS25,
,,U5,SGP25C,gps:SGP25C,gps:SGP25C,
,,U6,KT2520,gps:KT2520,gps:KT2520,
,,U7,TPS76333,gps:TPS76318,SMD_Packages:SOT-23-5,
,,U8,TPS76318,gps:TPS76318,SMD_Packages:SOT-23-5,



Collated Components:

Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
1,5,"C1, C10, C11, C3, C5",.1uF,device:Csmall,SMD_Packages:SMD-0603,
2,1,C2,18pF,device:Csmall,SMD_Packages:SMD-0603,
3,1,C4,22pF,device:Csmall,SMD_Packages:SMD-0603,
4,2,"C6, C7",1uF,device:Csmall,SMD_Packages:SMD-0603,
5,2,"C8, C9",10uF,device:Csmall,SMD_Packages:SMD-0603,
6,1,D1,LED(G),device:LED,SMD_Packages:SMD-0603,
7,6,"JP1, JP2, JP3, JP4, JP5, JP6",JUMPER,device:JUMPER,Connect:GS2,
8,1,P1,PWR,conn:CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02,
9,1,P2,CTL,conn:CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02,
10,1,P3,UART,conn:CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02,
11,1,R1,510,device:R,SMD_Packages:SMD-0603,
12,2,"R2, R3",100k,device:R,SMD_Packages:SMD-0603,
13,2,"R4, R5",10k,device:R,SMD_Packages:SMD-0603,
14,1,R6,6k,device:R,SMD_Packages:SMD-0603,
15,1,U1,USB_A_FEMALE,gps-cache:USB_A_FEMALE,ab2_usb:AB2_USB_MICRO_SMD,
16,1,U2,TXS0102,gps:TXS0102,gps:TXS0102,
17,1,U3,SE880,gps:SE880,gps:SE880,
18,1,U4,ABS25,gps:ABS25,gps:ABS25,
19,1,U5,SGP25C,gps:SGP25C,gps:SGP25C,
20,1,U6,KT2520,gps:KT2520,gps:KT2520,
21,1,U7,TPS76333,gps:TPS76318,SMD_Packages:SOT-23-5,
22,1,U8,TPS76318,gps:TPS76318,SMD_Packages:SOT-23-5,
