Source:,/home/muniza/kicad/sd/usb_hub/usb_hub.sch
Date:,Sat 13 Sep 2014 04:49:45 PM EDT
Tool:,Eeschema (2014-09-06 BZR 5115)-product
Component Count:,143

Individual Components:

Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
,,BT1,BATTERY,device:BATTERY,Pin_Headers:Pin_Header_Straight_1x02,
,,C1,1uF,device:C,SMD_Packages:SMD-0603_c,
,,C10,.1uF,device:C,SMD_Packages:SMD-0603_c,
,,C11,22pF,device:Csmall,SMD_Packages:SMD-0603_c,
,,C12,22pF,device:Csmall,SMD_Packages:SMD-0603_c,
,,C13,22pF,device:Csmall,SMD_Packages:SMD-0603_c,
,,C14,22pF,device:Csmall,SMD_Packages:SMD-0603_c,
,,C15,22pF,device:Csmall,SMD_Packages:SMD-0603_c,
,,C16,22pF,device:Csmall,SMD_Packages:SMD-0603_c,
,,C17,22pF,device:Csmall,SMD_Packages:SMD-0603_c,
,,C18,22pF,device:Csmall,SMD_Packages:SMD-0603_c,
,,C19,22pF,device:Csmall,SMD_Packages:SMD-0603_c,
,,C2,1uF,device:C,SMD_Packages:SMD-0603_c,
,,C20,4.7uF,device:C,SMD_Packages:SMD-0603_c,
,,C21,22pF,device:Csmall,SMD_Packages:SMD-0603_c,
,,C22,22pF,device:Csmall,SMD_Packages:SMD-0603_c,
,,C23,22pF,device:Csmall,SMD_Packages:SMD-0603_c,
,,C24,22pF,device:C,SMD_Packages:SMD-0603_c,
,,C25,22pF,device:C,SMD_Packages:SMD-0603_c,
,,C26,4.7uF,device:C,SMD_Packages:SMD-0603_c,
,,C27,4.7uF,device:C,SMD_Packages:SMD-0603_c,
,,C28,4.7uF,device:C,SMD_Packages:SMD-0603_c,
,,C29,.1uF,device:C,SMD_Packages:SMD-0603_c,
,,C3,.1uF,device:Csmall,SMD_Packages:SMD-0603_c,
,,C30,22uF,device:C,SMD_Packages:SMD-0603_c,
,,C31,22uF,device:C,SMD_Packages:SMD-0603_c,
,,C32,4.7uF,device:C,SMD_Packages:SMD-0603_c,
,,C33,.1uF,device:C,SMD_Packages:SMD-0603_c,
,,C34,.1uF,device:C,SMD_Packages:SMD-0603_c,
,,C35,22uF,device:C,SMD_Packages:SMD-0603_c,
,,C36,.1uF,device:C,SMD_Packages:SMD-0603_c,
,,C37,4.7uF,device:C,SMD_Packages:SMD-0603_c,
,,C38,4.7uF,device:C,SMD_Packages:SMD-0603_c,
,,C39,4.7uF,device:C,SMD_Packages:SMD-0603_c,
,,C4,.1uF,device:C,SMD_Packages:SMD-0603_c,
,,C40,4.7uF,device:C,SMD_Packages:SMD-0603_c,
,,C41,22uF,device:C,SMD_Packages:SMD-0603_c,
,,C42,22uF,device:C,SMD_Packages:SMD-0603_c,
,,C43,22uF,device:C,SMD_Packages:SMD-0603_c,
,,C44,22uF,device:C,SMD_Packages:SMD-0603_c,
,,C45,.1uF,device:C,SMD_Packages:SMD-0603_c,
,,C46,.1uF,device:C,SMD_Packages:SMD-0603_c,
,,C47,.1uF,device:C,SMD_Packages:SMD-0603_c,
,,C48,.1uF,device:C,SMD_Packages:SMD-0603_c,
,,C49,.1uF,device:C,SMD_Packages:SMD-0603_c,
,,C5,33pF,device:Csmall,SMD_Packages:SMD-0603_c,
,,C6,33pF,device:Csmall,SMD_Packages:SMD-0603_c,
,,C7,4.7uF,device:C,SMD_Packages:SMD-0603_c,
,,C8,22pF,device:Csmall,SMD_Packages:SMD-0603_c,
,,C9,22pF,device:Csmall,SMD_Packages:SMD-0603_c,
,,D1,LED(G),device:LED,LEDs:LED-0603,
,,D10,LED(G),device:LED,LEDs:LED-0603,
,,D11,LED(G),device:LED,LEDs:LED-0603,
,,D2,LED(G),device:LED,LEDs:LED-0603,
,,D3,LED(G),device:LED,LEDs:LED-0603,
,,D4,LED(G),device:LED,LEDs:LED-0603,
,,D5,LED(G),device:LED,LEDs:LED-0603,
,,D6,LED(G),device:LED,LEDs:LED-0603,
,,D7,LED(G),device:LED,LEDs:LED-0603,
,,D8,LED(G),device:LED,LEDs:LED-0603,
,,D9,LED(G),device:LED,LEDs:LED-0603,
,,F1,FUSE,device:FUSE,SMD_Packages:SMD-0603,
,,L1,FERRITE,usb_hub:FERRITE,SMD_Packages:SMD-1210,
,,L2,FERRITE,usb_hub:FERRITE,SMD_Packages:SMD-1210,
,,L3,FERRITE,usb_hub:FERRITE,SMD_Packages:SMD-1210,
,,L4,FERRITE,usb_hub:FERRITE,SMD_Packages:SMD-1210,
,,L5,FERRITE,usb_hub:FERRITE,SMD_Packages:SMD-1210,
,,L6,FERRITE,usb_hub:FERRITE,SMD_Packages:SMD-1210,
,,L7,FERRITE,usb_hub:FERRITE,SMD_Packages:SMD-1210,
,,L8,FERRITE,usb_hub:FERRITE,SMD_Packages:SMD-1210,
,,Q1,2N3904,device:NPN,Transistors_SMD:sot23,
,,R1,15k,device:R,SMD_Packages:SMD-0603_r,
,,R10,30,device:R,SMD_Packages:SMD-0603_r,
,,R11,30,device:R,SMD_Packages:SMD-0603_r,
,,R12,30,device:R,SMD_Packages:SMD-0603_r,
,,R13,30,device:R,SMD_Packages:SMD-0603_r,
,,R14,30,device:R,SMD_Packages:SMD-0603_r,
,,R15,30,device:R,SMD_Packages:SMD-0603_r,
,,R16,30,device:R,SMD_Packages:SMD-0603_r,
,,R17,30,device:R,SMD_Packages:SMD-0603_r,
,,R18,30,device:R,SMD_Packages:SMD-0603_r,
,,R19,30,device:R,SMD_Packages:SMD-0603_r,
,,R2,15k,device:R,SMD_Packages:SMD-0603_r,
,,R20,30,device:R,SMD_Packages:SMD-0603_r,
,,R21,30,device:R,SMD_Packages:SMD-0603_r,
,,R22,15k,device:R,SMD_Packages:SMD-0603_r,
,,R23,15k,device:R,SMD_Packages:SMD-0603_r,
,,R24,15k,device:R,SMD_Packages:SMD-0603_r,
,,R25,15k,device:R,SMD_Packages:SMD-0603_r,
,,R26,15k,device:R,SMD_Packages:SMD-0603_r,
,,R27,15k,device:R,SMD_Packages:SMD-0603_r,
,,R28,15k,device:R,SMD_Packages:SMD-0603_r,
,,R29,15k,device:R,SMD_Packages:SMD-0603_r,
,,R3,15k,device:R,SMD_Packages:SMD-0603_r,
,,R30,15k,device:R,SMD_Packages:SMD-0603_r,
,,R31,15k,device:R,SMD_Packages:SMD-0603_r,
,,R32,15k,device:R,SMD_Packages:SMD-0603_r,
,,R33,15k,device:R,SMD_Packages:SMD-0603_r,
,,R34,15k,device:R,SMD_Packages:SMD-0603_r,
,,R35,15k,device:R,SMD_Packages:SMD-0603_r,
,,R36,30,device:R,SMD_Packages:SMD-0603_r,
,,R37,30,device:R,SMD_Packages:SMD-0603_r,
,,R38,510,device:R,SMD_Packages:SMD-0603_r,
,,R39,510,device:R,SMD_Packages:SMD-0603_r,
,,R4,15k,device:R,SMD_Packages:SMD-0603_r,
,,R40,30,device:R,SMD_Packages:SMD-0603_r,
,,R41,510,device:R,SMD_Packages:SMD-0603_r,
,,R42,15k,device:R,SMD_Packages:SMD-0603_r,
,,R43,510,device:R,SMD_Packages:SMD-0603_r,
,,R44,30,device:R,SMD_Packages:SMD-0603_r,
,,R45,510,device:R,SMD_Packages:SMD-0603_r,
,,R46,510,device:R,SMD_Packages:SMD-0603_r,
,,R47,510,device:R,SMD_Packages:SMD-0603_r,
,,R48,1.5k,device:R,SMD_Packages:SMD-0603_r,
,,R49,510,device:R,SMD_Packages:SMD-0603_r,
,,R5,15k,device:R,SMD_Packages:SMD-0603_r,
,,R50,510,device:R,SMD_Packages:SMD-0603_r,
,,R51,510,device:R,SMD_Packages:SMD-0603_r,
,,R52,510,device:R,SMD_Packages:SMD-0603_r,
,,R53,1k,device:R,SMD_Packages:SMD-0603_r,
,,R6,15k,device:R,SMD_Packages:SMD-0603_r,
,,R7,15k,device:R,SMD_Packages:SMD-0603_r,
,,R8,15k,device:R,SMD_Packages:SMD-0603_r,
,,R9,1.5k,device:R,SMD_Packages:SMD-0603_r,
,,U1,TPS2044B,usb_hub:TPS2044B,Housings_SOIC:SOIC-16_Narrow,
,,U10,USB_A_FEMALE,usb_hub:USB_A_FEMALE,Connect:USB_A,
,,U11,USB_A_FEMALE,usb_hub:USB_A_FEMALE,Connect:USB_A,
,,U12,SN75240,usb_hub:SN75240,Housings_SSOP:MSOP-8,
,,U13,SN75240,usb_hub:SN75240,Housings_SSOP:MSOP-8,
,,U14,M93C46,usb_hub:M93C46,Power_Integrations:SO-8,
,,U15,USB_A_FEMALE,usb_hub:USB_A_FEMALE,Connect:USB_A,
,,U16,USB_A_FEMALE,usb_hub:USB_A_FEMALE,Connect:USB_A,
,,U17,USB_A_FEMALE,usb_hub:USB_A_FEMALE,Connect:USB_A,
,,U18,USB_A_FEMALE,usb_hub:USB_A_FEMALE,Connect:USB_A,
,,U2,TPS2044B,usb_hub:TPS2044B,Housings_SOIC:SOIC-16_Narrow,
,,U3,TUSB2077A,usb_hub:TUSB2077A,Housings_QFP:lqfp-48,
,,U4,TPS76333,usb_hub:TPS76333,SMD_Packages:SOT-23-5,
,,U5,USB_A_MALE,usb_hub:USB_A_MALE,Connect:USB_A,
,,U6,SN75240,usb_hub:SN75240,SMD_Packages:MSOP-8,
,,U7,SN75240,usb_hub:SN75240,SMD_Packages:MSOP-8,
,,U8,SN75240,usb_hub:SN75240,SMD_Packages:MSOP-8,
,,U9,USB_A_FEMALE,usb_hub:USB_A_FEMALE,Connect:USB_A,
,,X1,6 MHz,device:CRYSTAL,SMD_Packages:SMD-1210,



Collated Components:

Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
1,1,BT1,BATTERY,device:BATTERY,Pin_Headers:Pin_Header_Straight_1x02,
2,2,"C1, C2",1uF,device:C,SMD_Packages:SMD-0603_c,
3,11,"C10, C29, C33, C34, C36, C4, C45, C46, C47, C48, C49",.1uF,device:C,SMD_Packages:SMD-0603_c,
4,14,"C11, C12, C13, C14, C15, C16, C17, C18, C19, C21, C22, C23, C8, C9",22pF,device:Csmall,SMD_Packages:SMD-0603_c,
5,10,"C20, C26, C27, C28, C32, C37, C38, C39, C40, C7",4.7uF,device:C,SMD_Packages:SMD-0603_c,
6,2,"C24, C25",22pF,device:C,SMD_Packages:SMD-0603_c,
7,1,C3,.1uF,device:Csmall,SMD_Packages:SMD-0603_c,
8,7,"C30, C31, C35, C41, C42, C43, C44",22uF,device:C,SMD_Packages:SMD-0603_c,
9,2,"C5, C6",33pF,device:Csmall,SMD_Packages:SMD-0603_c,
10,11,"D1, D10, D11, D2, D3, D4, D5, D6, D7, D8, D9",LED(G),device:LED,LEDs:LED-0603,
11,1,F1,FUSE,device:FUSE,SMD_Packages:SMD-0603,
12,8,"L1, L2, L3, L4, L5, L6, L7, L8",FERRITE,usb_hub:FERRITE,SMD_Packages:SMD-1210,
