Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
1,1,BT1,BATTERY,device:BATTERY,Pin_Headers:Pin_Header_Straight_1x02,
2,2,"C1, C2",1uF,device:C,SMD_Packages:SMD-0603,
3,11,"C10, C29, C33, C34, C36, C4, C45, C46, C47, C48, C49",.1uF,device:C,SMD_Packages:SMD-0603,
4,14,"C11, C12, C13, C14, C15, C16, C17, C18, C19, C21, C22, C23, C8, C9",22pF,device:Csmall,SMD_Packages:SMD-0603,
5,10,"C20, C26, C27, C28, C32, C37, C38, C39, C40, C7",4.7uF,device:C,SMD_Packages:SMD-0603,
6,2,"C24, C25",22pF,device:C,SMD_Packages:SMD-0603,
7,1,C3,.1uF,device:Csmall,SMD_Packages:SMD-0603,
8,7,"C30, C31, C35, C41, C42, C43, C44",22uF,device:C,SMD_Packages:SMD-0603,
9,2,"C5, C6",33pF,device:Csmall,SMD_Packages:SMD-0603,
10,11,"D1, D10, D11, D2, D3, D4, D5, D6, D7, D8, D9",LED(G),device:LED,LEDs:LED-0603,
11,1,F1,FUSE,device:FUSE,SMD_Packages:SMD-0603,
12,8,"L1, L2, L3, L4, L5, L6, L7, L8",FERRITE,usb_hub:FERRITE,usb_hub:FB-28F0121,
13,1,Q1,2N3904,device:NPN,Transistors_SMD:sot23,
14,23,"R1, R2, R22, R23, R24, R25, R26, R27, R28, R29, R3, R30, R31, R32, R33, R34, R35, R4, R42, R5, R6, R7, R8",15k,device:R,SMD_Packages:SMD-0603,
15,16,"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R36, R37, R40, R44",30,device:R,SMD_Packages:SMD-0603,
16,11,"R38, R39, R41, R43, R45, R46, R47, R49, R50, R51, R52",510,device:R,SMD_Packages:SMD-0603,
17,2,"R48, R9",1.5k,device:R,SMD_Packages:SMD-0603,
18,1,R53,1k,device:R,SMD_Packages:SMD-0603,
19,2,"U1, U2",TPS2044B,usb_hub:TPS2044B,Housings_SOIC:SOIC-16_Narrow,
20,7,"U10, U11, U15, U16, U17, U18, U9",USB_A_FEMALE,usb_hub:USB_A_FEMALE,ab2_usb:AB2_USB_MICRO_SMD,
21,5,"U12, U13, U6, U7, U8",SN75240,usb_hub:SN75240,usb_hub:TSSOP8,
22,1,U14,M93C46,usb_hub:M93C46,Power_Integrations:SO-8,
23,1,U3,TUSB2077A,usb_hub:TUSB2077A,Housings_QFP:lqfp-48,
24,1,U4,TPS76333,usb_hub:TPS76333,SMD_Packages:SOT-23-5,
25,1,U5,USB_A_MALE,usb_hub:USB_A_MALE,ab2_usb:AB2_USB_MICRO_SMD,
26,1,X1,6 MHz,device:CRYSTAL,usb_hub:FOX6MHZ,
